text,lang,filename
Ladoix 1er Cru Le Rognet et Corton,fr,AOC Ladoix 1er Cru Le Rognet et Corton.mp3
Ladoix 1er Cru Les Buis,fr,AOC Ladoix 1er Cru Les Buis.mp3
Ladoix 1er Cru Les Grêchons et Foutrières,fr,AOC Ladoix 1er Cru Les Grêchons et Foutrières.mp3
Ladoix 1er Cru Les Joyeuses,fr,AOC Ladoix 1er Cru Les Joyeuses.mp3
Ladoix 1er Cru,fr,AOC Ladoix 1er Cru.mp3
Ladoix ou Ladoix Côte de Beaune,fr,AOC Ladoix ou Ladoix Côte de Beaune.mp3
Aloxe-Corton Village,fr,AOC Aloxe-Corton Village.mp3
Aloxe-Corton 1er Cru Clos des Maréchaudes,fr,AOC Aloxe-Corton 1er Cru Clos des Maréchaudes.mp3
Aloxe-Corton 1er Cru Clos du Chapitre,fr,AOC Aloxe-Corton 1er Cru Clos du Chapitre.mp3
Aloxe-Corton 1er Cru La Coutière,fr,AOC Aloxe-Corton 1er Cru La Coutière.mp3
Aloxe-Corton 1er Cru La Maréchaude,fr,AOC Aloxe-Corton 1er Cru La Maréchaude.mp3
Aloxe-Corton 1er Cru La Toppe au Vert,fr,AOC Aloxe-Corton 1er Cru La Toppe au Vert.mp3
Aloxe-Corton 1er Cru Les Chaillots blanc,fr,AOC Aloxe-Corton 1er Cru Les Chaillots blanc.mp3
Aloxe-Corton 1er Cru Les Fournières,fr,AOC Aloxe-Corton 1er Cru Les Fournières.mp3
Aloxe-Corton 1er Cru Les Guérets,fr,AOC Aloxe-Corton 1er Cru Les Guérets.mp3
Aloxe-Corton 1er Cru Les Maréchaudes,fr,AOC Aloxe-Corton 1er Cru Les Maréchaudes.mp3
Aloxe-Corton 1er Cru Les Moutottes,fr,AOC Aloxe-Corton 1er Cru Les Moutottes.mp3
Aloxe-Corton 1er Cru Les Paulands,fr,AOC Aloxe-Corton 1er Cru Les Paulands.mp3
Aloxe-Corton 1er Cru Les Petites Folières,fr,AOC Aloxe-Corton 1er Cru Les Petites Folières.mp3
Aloxe-Corton 1er Cru Les Valozières,fr,AOC Aloxe-Corton 1er Cru Les Valozières.mp3
Aloxe-Corton 1er Cru Les Vercots,fr,AOC Aloxe-Corton 1er Cru Les Vercots.mp3
Aloxe-Corton 1er Cru,fr,AOC Aloxe-Corton 1er Cru.mp3
Charlemagne Grand Cru (Aloxe),fr,AOC Charlemagne Grand Cru (Aloxe).mp3
Corton Grand Cru(Aloxe),fr,AOC Corton Grand Cru(Aloxe).mp3
Corton-Charlemagne Grand Cru(Aloxe),fr,AOC Corton-Charlemagne Grand Cru(Aloxe).mp3
Savigny-lès-Beaune ou Savigny-lès-Beaune Côte de Beaune,fr,AOC Savigny-lès-Beaune ou Savigny-lès-Beaune Côte de Beaune.mp3
Savigny-lès-Beaune Village,fr,AOC Savigny-lès-Beaune Village.mp3
Savigny-lès-Beaune 1er Cru Aux Clous,fr,AOC Savigny-lès-Beaune 1er Cru Aux Clous.mp3
Savigny-lès-Beaune 1er Cru Aux Fourneaux,fr,AOC Savigny-lès-Beaune 1er Cru Aux Fourneaux.mp3
Savigny-lès-Beaune 1er Cru Aux Gravains,fr,AOC Savigny-lès-Beaune 1er Cru Aux Gravains.mp3
Savigny-lès-Beaune 1er Cru Aux Guettes,fr,AOC Savigny-lès-Beaune 1er Cru Aux Guettes.mp3
Savigny-lès-Beaune 1er Cru Aux Serpentières,fr,AOC Savigny-lès-Beaune 1er Cru Aux Serpentières.mp3
